Ticker,Predicted Close,Real Close,Yesterday's Close,Real Increase,Predicted Increase,Real Percentage Increase,Predicted Percentage Increase,Real Minus Predicted Percentage
GOOGL,1056.7285,1055.41,1084.43,-29.019999999999982,-27.701500000000124,-0.026760602344088582,-0.02554475623138434,-0.0012158461127042414
GOOG,1040.7933,1048.58,1080.6,-32.01999999999998,-39.806699999999864,-0.029631686100314625,-0.03683759022765118,0.007205904127336554
MO,65.685425,66.79,66.53,0.2600000000000051,-0.8445750000000061,0.003908011423418084,-0.012694649030512642,0.016602660453930725
AMZN,1186.1183,1416.78,1442.84,-26.059999999999945,-256.7216999999998,-0.018061600731889848,-0.17792804468963977,0.15986644395774993
AEE,63.930744,53.19,53.0,0.18999999999999773,10.930743999999997,0.0035849056603773155,0.20624045283018863,-0.20265554716981132
AAL,48.67581,51.4,51.18,0.21999999999999886,-2.5041900000000012,0.004298554122704159,-0.048929073856975404,0.05322762797967956
AEP,77.396255,64.45,64.91,-0.45999999999999375,12.486255,-0.007086735479895144,0.19236257895547682,-0.19944931443537195
AXP,93.832375,93.61,94.18,-0.5700000000000074,-0.34762500000000784,-0.006052240390741212,-0.0036910702909323406,-0.0023611700998088718
AIG,59.268414,60.47,60.26,0.21000000000000085,-0.9915859999999981,0.003484898771988066,-0.016455127779621607,0.019940026551609674
AMT,148.21866,140.0,140.17,-0.1699999999999875,8.048660000000012,-0.0012128130127701186,0.0574207034315475,-0.05863351644431762
AWK,89.56087,77.96,78.96,-1.0,10.60087,-0.012664640324214793,0.13425620567375887,-0.14692084599797367
AMP,159.74269,160.11,160.56,-0.44999999999998863,-0.817309999999992,-0.0028026905829595704,-0.00509037120079716,0.0022876806178375895
ABC,81.34606,94.22,91.54,2.6799999999999926,-10.193940000000012,0.02927681887699358,-0.11136049814288848,0.14063731701988205
AME,70.34778,74.16,74.71,-0.5499999999999972,-4.3622199999999935,-0.00736179895596302,-0.058388702984874766,0.051026904028911746
AMGN,170.25052,177.47,176.65,0.8199999999999932,-6.399480000000011,0.004641947353523879,-0.03622688932918206,0.04086883668270594
APH,91.42286,88.28,88.56,-0.28000000000000114,2.8628599999999977,-0.003161698283649516,0.032326784101174316,-0.035488482384823834
ADI,89.39021,85.35,88.54,-3.190000000000012,0.8502099999999899,-0.03602891348543045,0.00960255251863553,-0.04563146600406598
ANSS,152.32481,155.03,157.1,-2.069999999999993,-4.775189999999981,-0.013176320814767621,-0.030395862507956593,0.01721954169318897
ANTM,220.5051,238.44,234.83,3.609999999999985,-14.324900000000014,0.015372822893156689,-0.06100114976791727,0.07637397266107396
AON,139.24031,140.55,139.92,0.6300000000000239,-0.6796899999999937,0.004502572898799485,-0.004857704402515679,0.009360277301315164
APA,41.32026,39.55,41.12,-1.5700000000000003,0.2002600000000001,-0.03818093385214009,0.0048701361867704305,-0.04305107003891052
AIV,45.708424,39.21,39.62,-0.4099999999999966,6.088424000000003,-0.010348308934881287,0.15367046945986884,-0.16401877839475013
AAPL,175.66692,159.54,163.03,-3.490000000000009,12.636920000000003,-0.021407102987180328,0.07751285039563273,-0.09891995338281306
AMAT,58.68693,48.69,50.25,-1.5600000000000023,8.436929999999997,-0.03104477611940303,0.1678991044776119,-0.19894388059701493
ADM,39.194935,42.19,42.0,0.18999999999999773,-2.805064999999999,0.00452380952380947,-0.06678726190476188,0.07131107142857135
AJG,65.87798,66.11,65.4,0.7099999999999937,0.4779799999999881,0.01085626911314975,0.007308562691131316,0.0035477064220184344
AIZ,98.71223,88.49,88.49,0.0,10.22223000000001,0.0,0.11551847666402995,-0.11551847666402995
T,34.870884,36.93,36.83,0.10000000000000142,-1.9591160000000016,0.0027151778441488303,-0.05319348357317409,0.055908661417322925
ADSK,130.22841,110.54,112.62,-2.0799999999999983,17.608409999999992,-0.01846918842123955,0.1563524240809802,-0.17482161250221975
ADP,110.15064,113.56,112.95,0.6099999999999994,-2.799360000000007,0.005400619743249221,-0.024784063745019982,0.030184683488269203
AZO,633.2184,728.33,745.07,-16.74000000000001,-111.85160000000008,-0.022467687599822848,-0.15012227039070164,0.1276545827908788
AVB,185.58998,158.28,160.25,-1.9699999999999989,25.339979999999997,-0.01229329173166926,0.15812780031201246,-0.17042109204368172
AVY,111.78939,114.78,114.24,0.5400000000000063,-2.4506099999999975,0.004726890756302576,-0.02145141806722687,0.026178308823529447
BLL,40.690605,39.33,36.93,2.3999999999999986,3.760604999999998,0.06498781478472783,0.10183062550771725,-0.03684281072298942
BAC,26.71914,31.25,31.2,0.05000000000000071,-4.48086,0.0016025641025641253,-0.14361730769230768,0.1452198717948718
BAX,64.29687,65.55,66.67,-1.1200000000000045,-2.3731300000000033,-0.016799160041997968,-0.03559517024148797,0.018796010199490003
BDX,226.57222,221.92,227.52,-5.600000000000023,-0.9477800000000229,-0.02461322081575256,-0.0041656997187061486,-0.020447521097046412
BRK.B,182.51396,200.37,201.24,-0.8700000000000045,-18.726040000000012,-0.004323196183661323,-0.09305326972768839,0.08873007354402707
BBY,57.112267,71.26,70.3,0.960000000000008,-13.187732999999994,0.01365576102418219,-0.18759221906116635,0.20124798008534855
BIIB,309.07626,326.89,332.86,-5.970000000000027,-23.783740000000023,-0.01793546836507849,-0.07145268280958968,0.053517214444511185
BLK,479.8538,532.26,535.22,-2.9600000000000364,-55.36620000000005,-0.005530436082358724,-0.10344568588617774,0.09791524980381902
BA,265.95792,348.12,340.91,7.2099999999999795,-74.95208000000002,0.021149276935261443,-0.21985884837640438,0.24100812531166582
BWA,53.25375,55.0,54.16,0.8400000000000034,-0.90625,0.015509601181683964,-0.016732828655834565,0.03224242983751853
BXP,125.81479,115.34,115.32,0.020000000000010232,10.494790000000009,0.00017343045438787924,0.09100580992022207,-0.0908323794658342
BSX,29.174105,26.32,26.72,-0.3999999999999986,2.454105000000002,-0.014970059880239469,0.0918452470059881,-0.10681530688622758
BMY,61.79934,62.63,60.9,1.730000000000004,0.8993400000000022,0.02840722495894916,0.0147674876847291,0.01363973727422006
AVGO,283.21777,237.38,240.38,-3.0,42.83776999999998,-0.012480239620600716,0.17820854480406015,-0.19068878442466086
BF.B,58.924465,65.08,65.01,0.06999999999999318,-6.085535000000007,0.001076757421934982,-0.09360921396708209,0.09468597138901708
