date,1. open,2. high,3. low,4. close,5. volume
2020-09-22 20:00:00,110.57,110.63,110.56,110.6,15106.0
2020-09-22 19:59:00,110.59,110.6,110.56,110.58,14666.0
2020-09-22 19:58:00,110.56,110.59,110.55,110.59,9298.0
2020-09-22 19:57:00,110.55,110.58,110.55,110.55,11144.0
2020-09-22 19:56:00,110.53,110.59,110.52,110.57,11926.0
2020-09-22 19:55:00,110.56,110.58,110.5,110.55,17500.0
2020-09-22 19:54:00,110.59,110.59,110.56,110.58,24182.0
2020-09-22 19:53:00,110.59,110.65,110.52,110.58,19801.0
2020-09-22 19:52:00,110.6,110.6,110.54,110.59,9522.0
2020-09-22 19:51:00,110.66,110.66,110.51,110.59,22079.0
2020-09-22 19:50:00,110.75,110.75,110.65,110.69,6058.0
2020-09-22 19:49:00,110.8,110.84,110.72,110.77,5609.0
2020-09-22 19:48:00,110.85,110.91,110.8,110.8001,4692.0
2020-09-22 19:47:00,110.85,110.88,110.8,110.85,3879.0
2020-09-22 19:46:00,110.92,110.96,110.85,110.85,6807.0
2020-09-22 19:45:00,110.87,110.99,110.87,110.97,6960.0
2020-09-22 19:44:00,110.75,110.89,110.75,110.82,4615.0
2020-09-22 19:43:00,110.73,110.75,110.65,110.73,19477.0
2020-09-22 19:42:00,110.66,110.98,110.66,110.7,8667.0
2020-09-22 19:41:00,110.71,110.73,110.7,110.7,2803.0
2020-09-22 19:40:00,110.74,110.76,110.73,110.74,6772.0
2020-09-22 19:39:00,110.75,111.06,110.74,110.75,13349.0
2020-09-22 19:38:00,110.76,110.76,110.7501,110.7501,876.0
2020-09-22 19:37:00,110.73,110.75,110.71,110.75,5855.0
2020-09-22 19:36:00,110.74,110.75,110.71,110.73,4910.0
2020-09-22 19:35:00,110.71,110.75,110.7,110.75,4181.0
2020-09-22 19:34:00,110.64,110.73,110.64,110.71,8893.0
2020-09-22 19:33:00,110.67,110.67,110.63,110.67,2909.0
2020-09-22 19:32:00,110.65,110.67,110.62,110.67,5566.0
2020-09-22 19:31:00,110.67,110.67,110.62,110.62,2906.0
2020-09-22 19:30:00,110.63,110.66,110.61,110.65,9244.0
2020-09-22 19:29:00,110.65,110.66,110.61,110.63,5611.0
2020-09-22 19:28:00,110.65,110.65,110.65,110.65,823.0
2020-09-22 19:27:00,110.65,110.72,110.65,110.67,3509.0
2020-09-22 19:26:00,110.62,110.7,110.62,110.67,2874.0
2020-09-22 19:25:00,110.65,110.66,110.61,110.65,10455.0
2020-09-22 19:24:00,110.66,110.66,110.6,110.65,4109.0
2020-09-22 19:23:00,110.56,110.7,110.51,110.65,9710.0
2020-09-22 19:22:00,110.6,110.6,110.54,110.56,5217.0
2020-09-22 19:21:00,110.61,110.66,110.6,110.6,9794.0
2020-09-22 19:20:00,110.71,110.71,110.62,110.66,7726.0
2020-09-22 19:19:00,110.74,110.76,110.7,110.73,7063.0
2020-09-22 19:18:00,110.75,110.75,110.7,110.74,5607.0
2020-09-22 19:17:00,110.8,110.8,110.7,110.78,5629.0
2020-09-22 19:16:00,110.79,110.8,110.77,110.8,6985.0
2020-09-22 19:15:00,110.69,110.8,110.69,110.8,8169.0
2020-09-22 19:14:00,110.84,110.85,110.7,110.7,22509.0
2020-09-22 19:13:00,110.85,110.87,110.8,110.85,6776.0
2020-09-22 19:12:00,110.78,110.89,110.78,110.8,8727.0
2020-09-22 19:11:00,110.8,110.8,110.76,110.78,7638.0
2020-09-22 19:10:00,110.9,110.9,110.7999,110.8,7507.0
2020-09-22 19:09:00,110.94,110.98,110.9,110.92,2878.0
2020-09-22 19:08:00,110.9,110.98,110.85,110.95,11151.0
2020-09-22 19:07:00,110.9,110.92,110.84,110.85,6026.0
2020-09-22 19:06:00,111.0,111.0,110.89,110.92,9144.0
2020-09-22 19:05:00,111.05,111.05,111.0,111.0,4609.0
2020-09-22 19:04:00,111.01,111.0501,111.01,111.05,4582.0
2020-09-22 19:03:00,111.06,111.08,111.01,111.01,2075.0
2020-09-22 19:02:00,111.03,111.04,111.03,111.04,940.0
2020-09-22 19:01:00,111.01,111.1,111.01,111.1,10691.0
2020-09-22 19:00:00,111.02,111.02,111.01,111.02,1986.0
2020-09-22 18:59:00,111.03,111.05,111.0,111.01,4745.0
2020-09-22 18:58:00,111.0,111.05,111.0,111.03,2835.0
2020-09-22 18:57:00,110.94,111.0,110.94,111.0,3599.0
2020-09-22 18:56:00,110.98,110.98,110.93,110.93,4376.0
2020-09-22 18:55:00,111.0,111.02,110.98,110.98,5528.0
2020-09-22 18:54:00,111.0,111.01,110.99,111.0,6961.0
2020-09-22 18:53:00,111.07,111.07,111.0,111.0,9284.0
2020-09-22 18:52:00,111.12,111.12,111.05,111.05,5982.0
2020-09-22 18:51:00,111.16,111.16,111.1,111.1,5723.0
2020-09-22 18:50:00,111.19,111.19,111.16,111.19,12167.0
2020-09-22 18:49:00,111.17,111.2,111.16,111.16,1770.0
2020-09-22 18:48:00,111.11,111.23,111.1,111.189,6177.0
2020-09-22 18:47:00,111.13,111.2,111.1,111.15,8703.0
2020-09-22 18:46:00,111.12,111.18,111.12,111.18,2532.0
2020-09-22 18:45:00,111.2,111.3,111.11,111.11,5117.0
2020-09-22 18:44:00,111.32,111.4,111.05,111.05,12709.0
2020-09-22 18:43:00,111.45,111.5,111.35,111.35,6027.0
2020-09-22 18:42:00,111.53,111.55,111.5,111.5,7409.0
2020-09-22 18:41:00,111.53,111.53,111.5,111.53,5320.0
2020-09-22 18:40:00,111.52,111.6,111.5,111.59,7512.0
2020-09-22 18:39:00,111.4,111.5,111.39,111.5,11511.0
2020-09-22 18:38:00,111.4,111.44,111.39,111.42,2548.0
2020-09-22 18:37:00,111.39,111.4,111.39,111.4,1418.0
2020-09-22 18:36:00,111.4,111.4101,111.37,111.37,6082.0
2020-09-22 18:35:00,111.29,111.4,111.29,111.4,6895.0
2020-09-22 18:34:00,111.26,111.26,111.24,111.25,3066.0
2020-09-22 18:33:00,111.22,111.26,111.22,111.26,1546.0
2020-09-22 18:32:00,111.19,111.25,111.16,111.25,7381.0
2020-09-22 18:31:00,111.15,111.18,111.08,111.16,3366.0
2020-09-22 18:30:00,111.07,111.16,111.03,111.16,4156.0
2020-09-22 18:29:00,111.2,111.22,111.02,111.03,5397.0
2020-09-22 18:28:00,111.2,111.24,111.2,111.24,3576.0
2020-09-22 18:27:00,111.23,111.24,111.2,111.21,2308.0
2020-09-22 18:26:00,111.11,111.24,111.11,111.2,5405.0
2020-09-22 18:25:00,111.13,111.2,111.08,111.2,6093.0
2020-09-22 18:24:00,111.15,111.2,111.0,111.0,9560.0
2020-09-22 18:23:00,111.26,111.3,111.15,111.15,8038.0
2020-09-22 18:22:00,111.25,111.29,111.25,111.26,5350.0
2020-09-22 18:21:00,111.25,111.32,111.25,111.25,7074.0
2020-09-22 18:20:00,111.31,111.33,111.2,111.26,5442.0
2020-09-22 18:19:00,111.3,111.32,111.3,111.32,5320.0
2020-09-22 18:18:00,111.4,111.41,111.31,111.31,14308.0
2020-09-22 18:17:00,111.45,111.45,111.4,111.41,4570.0
2020-09-22 18:16:00,111.48,111.48,111.45,111.45,3039.0
2020-09-22 18:15:00,111.5,111.5,111.49,111.49,3331.0
2020-09-22 18:14:00,111.49,111.52,111.49,111.5,4718.0
2020-09-22 18:13:00,111.51,111.51,111.48,111.5,5223.0
2020-09-22 18:12:00,111.5,111.5,111.5,111.5,486.0
2020-09-22 18:11:00,111.5,111.5,111.5,111.5,2504.0
2020-09-22 18:10:00,111.5,111.5,111.454,111.5,648.0
2020-09-22 18:09:00,111.53,111.53,111.5,111.5,2348.0
2020-09-22 18:08:00,111.51,111.51,111.51,111.51,1425.0
2020-09-22 18:07:00,111.53,111.53,111.51,111.53,1443.0
2020-09-22 18:06:00,111.6,111.62,111.53,111.55,1726.0
2020-09-22 18:05:00,111.63,111.63,111.53,111.53,2539.0
2020-09-22 18:04:00,111.61,111.61,111.61,111.61,1196.0
2020-09-22 18:03:00,111.61,111.61,111.56,111.61,3728.0
2020-09-22 18:02:00,111.6,111.61,111.55,111.55,1398.0
2020-09-22 18:01:00,111.58,111.69,111.58,111.6,6775.0
2020-09-22 18:00:00,111.61,111.61,111.51,111.53,4672.0
2020-09-22 17:59:00,111.6,111.63,111.6,111.61,3052.0
2020-09-22 17:58:00,111.61,111.61,111.6,111.6,5532.0
2020-09-22 17:57:00,111.6,111.63,111.6,111.62,4330.0
2020-09-22 17:56:00,111.65,111.7,111.56,111.64,5087.0
2020-09-22 17:55:00,111.61,111.68,111.61,111.65,4410.0
2020-09-22 17:54:00,111.57,111.61,111.56,111.6,7035.0
2020-09-22 17:53:00,111.56,111.56,111.51,111.53,3402.0
2020-09-22 17:52:00,111.5,111.55,111.5,111.54,14052.0
2020-09-22 17:51:00,111.53,111.53,111.46,111.5,5799.0
2020-09-22 17:50:00,111.5,111.51,111.5,111.5,4577.0
2020-09-22 17:49:00,111.49,111.5,111.49,111.5,8592.0
2020-09-22 17:48:00,111.44,111.49,111.42,111.4899,6282.0
2020-09-22 17:47:00,111.43,111.44,111.42,111.42,9878.0
2020-09-22 17:46:00,111.45,111.45,111.45,111.45,825.0
2020-09-22 17:45:00,111.43,111.45,111.42,111.45,2083.0
2020-09-22 17:44:00,111.44,111.44,111.43,111.44,2647.0
2020-09-22 17:43:00,111.47,111.49,111.47,111.49,1242.0
2020-09-22 17:42:00,111.43,111.44,111.43,111.44,1942.0
2020-09-22 17:41:00,111.42,111.42,111.42,111.42,1035.0
2020-09-22 17:40:00,111.4,111.42,111.39,111.42,3836.0
2020-09-22 17:39:00,111.42,111.81,111.4,111.4,10282.0
2020-09-22 17:38:00,111.42,111.44,111.42,111.44,1063.0
2020-09-22 17:37:00,111.45,111.48,111.45,111.4699,2018.0
2020-09-22 17:36:00,111.39,111.45,111.38,111.41,5430.0
2020-09-22 17:35:00,111.4,111.4,111.39,111.39,1700.0
2020-09-22 17:34:00,111.4,111.4,111.37,111.38,3225.0
2020-09-22 17:33:00,111.42,111.42,111.38,111.38,3600.0
2020-09-22 17:32:00,111.4,111.4,111.4,111.4,706.0
2020-09-22 17:31:00,111.4,111.4,111.4,111.4,3892.0
2020-09-22 17:30:00,111.39,111.4,111.36,111.4,7148.0
2020-09-22 17:29:00,111.36,111.39,111.36,111.38,3082.0
2020-09-22 17:28:00,111.35,111.38,111.35,111.36,1667.0
2020-09-22 17:27:00,111.36,111.36,111.36,111.36,3317.0
2020-09-22 17:26:00,111.37,111.39,111.36,111.36,4077.0
2020-09-22 17:25:00,111.33,111.39,111.33,111.37,3150.0
2020-09-22 17:24:00,111.33,111.38,111.32,111.37,3876.0
2020-09-22 17:23:00,111.45,111.45,111.3,111.31,10041.0
2020-09-22 17:22:00,111.47,111.48,111.4,111.44,10658.0
2020-09-22 17:21:00,111.47,111.47,111.47,111.47,1096.0
2020-09-22 17:20:00,111.48,111.53,111.46,111.48,4230.0
2020-09-22 17:19:00,111.53,111.54,111.5298,111.5298,700.0
2020-09-22 17:18:00,111.53,111.55,111.53,111.53,2664.0
2020-09-22 17:17:00,111.44,111.53,111.44,111.53,4260.0
2020-09-22 17:16:00,111.5,111.5,111.42,111.48,4976.0
2020-09-22 17:15:00,111.5,111.5,111.42,111.42,3651.0
2020-09-22 17:14:00,111.51,111.51,111.5,111.51,2919.0
2020-09-22 17:13:00,111.48,111.53,111.48,111.52,3472.0
