date,SMA
2000-01-11,0.7499
2000-01-12,0.7513
2000-01-13,0.7539
2000-01-14,0.7568
2000-01-18,0.7599
2000-01-19,0.7627
2000-01-20,0.7654
2000-01-21,0.7687
2000-01-24,0.771
2000-01-25,0.7741
2000-01-26,0.7771
2000-01-27,0.7803
2000-01-28,0.7819
2000-01-31,0.7839
2000-02-01,0.7856
2000-02-02,0.7866
2000-02-03,0.7885
2000-02-04,0.7909
2000-02-07,0.7938
2000-02-08,0.7969
2000-02-09,0.7997
2000-02-10,0.8021
2000-02-11,0.803
2000-02-14,0.8038
2000-02-15,0.8044
2000-02-16,0.8041
2000-02-17,0.8037
2000-02-18,0.8039
2000-02-22,0.8052
2000-02-23,0.8072
2000-02-24,0.8097
2000-02-25,0.8121
2000-02-28,0.8146
2000-02-29,0.8171
2000-03-01,0.8218
2000-03-02,0.8255
2000-03-03,0.8294
2000-03-06,0.8334
2000-03-07,0.8364
2000-03-08,0.8399
2000-03-09,0.8436
2000-03-10,0.8474
2000-03-13,0.8507
2000-03-14,0.8524
2000-03-15,0.8531
2000-03-16,0.856
2000-03-17,0.8593
2000-03-20,0.8636
2000-03-21,0.869
2000-03-22,0.8762
2000-03-23,0.8837
2000-03-24,0.8916
2000-03-27,0.8982
2000-03-28,0.9042
2000-03-29,0.9091
2000-03-30,0.912
2000-03-31,0.9155
2000-04-03,0.9189
2000-04-04,0.9221
2000-04-05,0.9249
2000-04-06,0.9272
2000-04-07,0.9306
2000-04-10,0.9342
2000-04-11,0.9366
2000-04-12,0.938
2000-04-13,0.9403
2000-04-14,0.9416
2000-04-17,0.944
2000-04-18,0.946
2000-04-19,0.947
2000-04-20,0.9479
2000-04-24,0.949
2000-04-25,0.952
2000-04-26,0.9529
2000-04-27,0.9541
2000-04-28,0.9556
2000-05-01,0.9571
2000-05-02,0.9581
2000-05-03,0.9583
2000-05-04,0.9574
2000-05-05,0.9571
2000-05-08,0.957
2000-05-09,0.9558
2000-05-10,0.9535
2000-05-11,0.9493
2000-05-12,0.947
2000-05-15,0.9429
2000-05-16,0.9398
2000-05-17,0.9365
2000-05-18,0.9332
2000-05-19,0.9289
2000-05-22,0.9233
2000-05-23,0.9179
2000-05-24,0.9138
2000-05-25,0.9093
2000-05-26,0.9039
2000-05-30,0.8981
2000-05-31,0.8921
2000-06-01,0.8851
2000-06-02,0.8771
2000-06-05,0.8694
2000-06-06,0.8624
2000-06-07,0.8557
2000-06-08,0.8489
2000-06-09,0.8427
2000-06-12,0.8374
2000-06-13,0.831
2000-06-14,0.8244
2000-06-15,0.8191
2000-06-16,0.813
2000-06-19,0.8086
2000-06-20,0.8039
2000-06-21,0.8018
2000-06-22,0.8
2000-06-23,0.7991
2000-06-26,0.7982
2000-06-27,0.7969
2000-06-28,0.7946
2000-06-29,0.7909
2000-06-30,0.7883
2000-07-03,0.7864
2000-07-05,0.7838
2000-07-06,0.78
2000-07-07,0.7781
2000-07-10,0.7761
2000-07-11,0.7746
2000-07-12,0.7736
2000-07-13,0.7728
2000-07-14,0.7729
2000-07-17,0.7738
2000-07-18,0.774
2000-07-19,0.7733
2000-07-20,0.774
2000-07-21,0.7752
2000-07-24,0.7744
2000-07-25,0.7732
2000-07-26,0.7731
2000-07-27,0.7728
2000-07-28,0.7721
2000-07-31,0.7722
2000-08-01,0.7729
2000-08-02,0.7736
2000-08-03,0.7752
2000-08-04,0.7763
2000-08-07,0.7776
2000-08-08,0.7787
2000-08-09,0.7799
2000-08-10,0.7816
2000-08-11,0.7825
2000-08-14,0.7828
2000-08-15,0.7831
2000-08-16,0.7837
2000-08-17,0.7847
2000-08-18,0.7855
2000-08-21,0.7863
2000-08-22,0.7882
2000-08-23,0.7904
2000-08-24,0.7937
2000-08-25,0.797
2000-08-28,0.8008
2000-08-29,0.8042
2000-08-30,0.8069
2000-08-31,0.8086
2000-09-01,0.8115
2000-09-05,0.8149
2000-09-06,0.8162
2000-09-07,0.8193
2000-09-08,0.8207
2000-09-11,0.8229
2000-09-12,0.8246
2000-09-13,0.826
2000-09-14,0.8276
2000-09-15,0.8287
2000-09-18,0.8306
2000-09-19,0.8315
2000-09-20,0.8327
2000-09-21,0.8321
2000-09-22,0.8307
2000-09-25,0.8294
2000-09-26,0.8273
2000-09-27,0.8248
2000-09-28,0.825
2000-09-29,0.816
2000-10-02,0.8069
2000-10-03,0.7988
2000-10-04,0.7907
2000-10-05,0.782
2000-10-06,0.7729
2000-10-09,0.7647
2000-10-10,0.7555
2000-10-11,0.7463
2000-10-12,0.7379
2000-10-13,0.7299
2000-10-16,0.722
2000-10-17,0.7134
2000-10-18,0.7052
2000-10-19,0.6964
2000-10-20,0.6877
2000-10-23,0.6793
2000-10-24,0.6706
